id,callerID,agentID,complaintTopic,assignedTo,status,resolutionDurationInHours,callDurationInSeconds,agentsGradeLevel,callType,callEndedByAgent
1,CALLER_1,163,Billing discrepancy,122.0,closed,33,97,A,Inbound,False
2,CALLER_2,133,Difficulty reaching customer support,133.0,new,0,64,E,Inbound,True
3,CALLER_3,153,Wrong item received,122.0,resolved,0,100,C,Inbound,False
4,CALLER_4,161,Unauthorized charges,151.0,pending,0,69,D,Outbound,True
5,CALLER_5,148,Unprofessional behavior,148.0,new,0,96,D,Inbound,True
6,CALLER_6,157,Inadequate product instructions,125.0,closed,18,120,A,Inbound,True
7,CALLER_7,179,Unsatisfactory resolution,125.0,resolved,0,88,C,Inbound,True
8,CALLER_8,171,Rude customer service representative,171.0,pending,0,108,D,Inbound,True
9,CALLER_9,161,Website not working,161.0,new,0,145,C,Inbound,True
10,CALLER_10,159,Product damaged during shipping,135.0,resolved,0,128,F,Inbound,True
11,CALLER_11,147,Inadequate product instructions,133.0,closed,18,130,A,Outbound,True
12,CALLER_12,143,Inaccurate information provided,122.0,pending,0,109,D,Inbound,True
13,CALLER_13,124,Slow response time,132.0,resolved,0,148,F,Outbound,False
14,CALLER_14,151,Unsatisfactory resolution,136.0,resolved,0,82,D,Inbound,True
15,CALLER_15,171,Slow response time,171.0,new,0,60,F,Inbound,True
16,CALLER_16,131,Difficulty getting a refund,169.0,pending,0,132,A,Inbound,False
17,CALLER_17,179,Long wait time,155.0,closed,44,82,D,Inbound,True
18,CALLER_18,130,Website not working,155.0,closed,13,70,A,Outbound,True
19,CALLER_19,159,Shipping delay,159.0,closed,32,95,E,Outbound,True
20,CALLER_20,131,Misplaced order,131.0,closed,44,67,F,Inbound,False
21,CALLER_21,121,Unprofessional behavior,121.0,new,0,72,A,Outbound,True
22,CALLER_22,121,Refund not processed,133.0,resolved,0,125,E,Outbound,False
23,CALLER_23,177,Unprofessional behavior,158.0,new,0,71,E,Outbound,True
24,CALLER_24,173,Shipping delay,137.0,resolved,0,94,A,Inbound,False
25,CALLER_25,162,Package never arrived,162.0,closed,17,67,C,Inbound,True
26,CALLER_26,124,Lack of follow-up,143.0,new,0,75,C,Inbound,False
27,CALLER_27,168,Lack of follow-up,166.0,pending,0,131,E,Inbound,False
28,CALLER_28,146,Billing discrepancy,133.0,pending,0,86,C,Inbound,False
29,CALLER_29,151,Product not as described,173.0,closed,26,77,F,Inbound,True
30,CALLER_30,172,Long wait time,133.0,closed,35,92,F,Outbound,True
31,CALLER_31,161,Unsatisfactory resolution,179.0,closed,14,142,A,Outbound,False
32,CALLER_32,157,Lack of follow-up,157.0,new,0,85,E,Inbound,False
33,CALLER_33,138,Incorrect charges,138.0,resolved,0,90,F,Outbound,True
34,CALLER_34,142,Product damaged during shipping,140.0,closed,27,61,F,Outbound,True
35,CALLER_35,123,Unauthorized charges,123.0,pending,0,105,E,Inbound,True
36,CALLER_36,180,Incorrect order,167.0,pending,0,67,F,Outbound,False
37,CALLER_37,135,Incorrect charges,145.0,closed,26,114,F,Inbound,True
38,CALLER_38,179,Unauthorized charges,143.0,pending,0,103,A,Inbound,True
39,CALLER_39,129,Rude customer service representative,129.0,pending,0,66,C,Inbound,True
40,CALLER_40,122,Rude customer service representative,146.0,new,0,133,A,Outbound,False
41,CALLER_41,159,Poor communication,144.0,pending,0,106,C,Inbound,True
42,CALLER_42,156,Website not working,156.0,pending,0,64,F,Inbound,False
43,CALLER_43,144,Poor communication,161.0,pending,0,61,C,Inbound,False
44,CALLER_44,171,Difficulty reaching customer support,177.0,resolved,0,91,D,Inbound,True
45,CALLER_45,172,Lost package,172.0,closed,36,95,C,Inbound,True
46,CALLER_46,156,Difficulty reaching customer support,141.0,closed,38,115,C,Inbound,False
47,CALLER_47,172,Difficulty cancelling subscription,172.0,resolved,0,145,E,Outbound,True
48,CALLER_48,135,Difficulty reaching customer support,135.0,pending,0,136,E,Outbound,True
49,CALLER_49,171,Inadequate product instructions,171.0,closed,18,86,D,Outbound,True
50,CALLER_50,160,Product not as described,172.0,pending,0,102,F,Inbound,True
51,CALLER_51,180,Unsatisfactory resolution,180.0,closed,30,106,E,Inbound,True
52,CALLER_52,160,Website not working,160.0,closed,41,139,E,Inbound,True
53,CALLER_53,158,Slow response time,158.0,pending,0,113,C,Outbound,True
54,CALLER_54,167,Long wait time,167.0,closed,31,101,E,Inbound,True
55,CALLER_55,157,Shipping delay,157.0,closed,13,98,C,Inbound,True
56,CALLER_56,133,Package never arrived,133.0,closed,29,85,A,Inbound,True
57,CALLER_57,176,Incorrect order,132.0,resolved,0,115,F,Inbound,True
58,CALLER_58,177,Package never arrived,177.0,closed,3,106,A,Outbound,True
